
 Z=74  Tungsten (W)                    Atomic Weight (nat)=183.850
 Photo-Atomic Cross Sections           (1 cm2/gm=305.2906 barn/atom)
 NP= 332                               Data from EPDL97

Column definitions:
  EMeV   Incident photon energy (MeV)
  XXXba  Cross Section for process XXX, barn/atom
  XXXcg  Cross Section for process XXX, cm2/gm
  XXX    Tot: Total cross section (Coh+Inc+ppT+PE)
          PE: Photo-electric ionization     (W K-edge= 6.9689E-02 MeV)
         Coh: Coherent  (Rayleigh) scattering
         Inc: Incoherent (Compton) scattering
         ppn: Pair production from nucleus
         ppe: Pair production from electrons
         ppT: Total pair prod (=ppn+ppe)

   EMeV       Totba     PEba      Cohba     Incba     ppnba     ppeba     ppTba       Totcg     PEcg      Cohcg     Inccg     ppncg     ppecg     ppTcg
 1.0000E-04 3.934E+06 3.934E+06 1.050E+02 1.788E-02 0.000E+00 0.000E+00 0.000E+00   1.289E+04 1.289E+04 3.438E-01 5.855E-05 0.000E+00 0.000E+00 0.000E+00
 1.1000E-04 4.358E+06 4.358E+06 1.007E+02 2.162E-02 0.000E+00 0.000E+00 0.000E+00   1.427E+04 1.427E+04 3.299E-01 7.080E-05 0.000E+00 0.000E+00 0.000E+00
 1.2000E-04 4.864E+06 4.864E+06 1.079E+02 2.571E-02 0.000E+00 0.000E+00 0.000E+00   1.593E+04 1.593E+04 3.536E-01 8.421E-05 0.000E+00 0.000E+00 0.000E+00
 1.3000E-04 5.349E+06 5.349E+06 1.241E+02 3.015E-02 0.000E+00 0.000E+00 0.000E+00   1.752E+04 1.752E+04 4.066E-01 9.875E-05 0.000E+00 0.000E+00 0.000E+00
 1.4000E-04 5.759E+06 5.759E+06 1.472E+02 3.492E-02 0.000E+00 0.000E+00 0.000E+00   1.886E+04 1.886E+04 4.822E-01 1.144E-04 0.000E+00 0.000E+00 0.000E+00
 1.5000E-04 6.080E+06 6.080E+06 1.758E+02 4.005E-02 0.000E+00 0.000E+00 0.000E+00   1.992E+04 1.992E+04 5.757E-01 1.312E-04 0.000E+00 0.000E+00 0.000E+00
 1.6000E-04 6.337E+06 6.336E+06 2.083E+02 4.552E-02 0.000E+00 0.000E+00 0.000E+00   2.076E+04 2.076E+04 6.824E-01 1.491E-04 0.000E+00 0.000E+00 0.000E+00
 1.7000E-04 6.524E+06 6.524E+06 2.444E+02 5.133E-02 0.000E+00 0.000E+00 0.000E+00   2.137E+04 2.137E+04 8.006E-01 1.681E-04 0.000E+00 0.000E+00 0.000E+00
 1.8000E-04 6.651E+06 6.651E+06 2.836E+02 5.748E-02 0.000E+00 0.000E+00 0.000E+00   2.179E+04 2.179E+04 9.288E-01 1.883E-04 0.000E+00 0.000E+00 0.000E+00
 1.9000E-04 6.716E+06 6.715E+06 3.240E+02 6.397E-02 0.000E+00 0.000E+00 0.000E+00   2.200E+04 2.200E+04 1.061E+00 2.095E-04 0.000E+00 0.000E+00 0.000E+00
 2.0000E-04 6.723E+06 6.722E+06 3.644E+02 7.080E-02 0.000E+00 0.000E+00 0.000E+00   2.202E+04 2.202E+04 1.194E+00 2.319E-04 0.000E+00 0.000E+00 0.000E+00
 2.2000E-04 6.607E+06 6.606E+06 4.414E+02 8.541E-02 0.000E+00 0.000E+00 0.000E+00   2.164E+04 2.164E+04 1.446E+00 2.798E-04 0.000E+00 0.000E+00 0.000E+00
 2.4000E-04 6.385E+06 6.385E+06 5.069E+02 1.014E-01 0.000E+00 0.000E+00 0.000E+00   2.092E+04 2.091E+04 1.660E+00 3.320E-04 0.000E+00 0.000E+00 0.000E+00
 2.4734E-04 6.285E+06 6.285E+06 5.603E+02 1.076E-01 0.000E+00 0.000E+00 0.000E+00   2.059E+04 2.059E+04 1.835E+00 3.523E-04 0.000E+00 0.000E+00 0.000E+00
 2.4734E-04 6.537E+06 6.536E+06 5.603E+02 1.076E-01 0.000E+00 0.000E+00 0.000E+00   2.141E+04 2.141E+04 1.835E+00 3.523E-04 0.000E+00 0.000E+00 0.000E+00
 2.6005E-04 6.348E+06 6.347E+06 6.432E+02 1.186E-01 0.000E+00 0.000E+00 0.000E+00   2.079E+04 2.079E+04 2.107E+00 3.885E-04 0.000E+00 0.000E+00 0.000E+00
 2.6005E-04 6.518E+06 6.518E+06 6.432E+02 1.186E-01 0.000E+00 0.000E+00 0.000E+00   2.135E+04 2.135E+04 2.107E+00 3.885E-04 0.000E+00 0.000E+00 0.000E+00
 2.8000E-04 6.138E+06 6.138E+06 7.187E+02 1.370E-01 0.000E+00 0.000E+00 0.000E+00   2.011E+04 2.010E+04 2.354E+00 4.487E-04 0.000E+00 0.000E+00 0.000E+00
 3.0000E-04 5.730E+06 5.729E+06 7.791E+02 1.567E-01 0.000E+00 0.000E+00 0.000E+00   1.877E+04 1.877E+04 2.552E+00 5.132E-04 0.000E+00 0.000E+00 0.000E+00
 3.2000E-04 5.367E+06 5.366E+06 8.307E+02 1.776E-01 0.000E+00 0.000E+00 0.000E+00   1.758E+04 1.758E+04 2.721E+00 5.818E-04 0.000E+00 0.000E+00 0.000E+00
 3.4000E-04 5.050E+06 5.049E+06 8.779E+02 1.995E-01 0.000E+00 0.000E+00 0.000E+00   1.654E+04 1.654E+04 2.875E+00 6.536E-04 0.000E+00 0.000E+00 0.000E+00
 3.6000E-04 4.763E+06 4.762E+06 9.217E+02 2.227E-01 0.000E+00 0.000E+00 0.000E+00   1.560E+04 1.560E+04 3.019E+00 7.294E-04 0.000E+00 0.000E+00 0.000E+00
 3.8000E-04 4.496E+06 4.495E+06 9.588E+02 2.470E-01 0.000E+00 0.000E+00 0.000E+00   1.473E+04 1.472E+04 3.141E+00 8.091E-04 0.000E+00 0.000E+00 0.000E+00
 4.0000E-04 4.243E+06 4.242E+06 9.768E+02 2.725E-01 0.000E+00 0.000E+00 0.000E+00   1.390E+04 1.390E+04 3.200E+00 8.926E-04 0.000E+00 0.000E+00 0.000E+00
 4.1962E-04 4.010E+06 4.009E+06 1.078E+03 2.981E-01 0.000E+00 0.000E+00 0.000E+00   1.314E+04 1.313E+04 3.532E+00 9.764E-04 0.000E+00 0.000E+00 0.000E+00
 4.1962E-04 4.252E+06 4.251E+06 1.078E+03 2.981E-01 0.000E+00 0.000E+00 0.000E+00   1.393E+04 1.392E+04 3.532E+00 9.764E-04 0.000E+00 0.000E+00 0.000E+00
 4.2500E-04 4.188E+06 4.187E+06 1.091E+03 3.053E-01 0.000E+00 0.000E+00 0.000E+00   1.372E+04 1.372E+04 3.573E+00 9.999E-04 0.000E+00 0.000E+00 0.000E+00
 4.5000E-04 3.910E+06 3.909E+06 1.153E+03 3.397E-01 0.000E+00 0.000E+00 0.000E+00   1.281E+04 1.280E+04 3.776E+00 1.113E-03 0.000E+00 0.000E+00 0.000E+00
 4.7500E-04 3.651E+06 3.650E+06 1.201E+03 3.759E-01 0.000E+00 0.000E+00 0.000E+00   1.196E+04 1.196E+04 3.934E+00 1.231E-03 0.000E+00 0.000E+00 0.000E+00
 4.8861E-04 3.517E+06 3.516E+06 1.230E+03 3.964E-01 0.000E+00 0.000E+00 0.000E+00   1.152E+04 1.152E+04 4.030E+00 1.298E-03 0.000E+00 0.000E+00 0.000E+00
 4.8861E-04 3.570E+06 3.569E+06 1.230E+03 3.964E-01 0.000E+00 0.000E+00 0.000E+00   1.169E+04 1.169E+04 4.030E+00 1.298E-03 0.000E+00 0.000E+00 0.000E+00
 5.0000E-04 3.463E+06 3.461E+06 1.258E+03 4.138E-01 0.000E+00 0.000E+00 0.000E+00   1.134E+04 1.134E+04 4.120E+00 1.356E-03 0.000E+00 0.000E+00 0.000E+00
 5.3333E-04 3.164E+06 3.162E+06 1.317E+03 4.646E-01 0.000E+00 0.000E+00 0.000E+00   1.036E+04 1.036E+04 4.315E+00 1.522E-03 0.000E+00 0.000E+00 0.000E+00
 5.6667E-04 2.896E+06 2.894E+06 1.360E+03 5.179E-01 0.000E+00 0.000E+00 0.000E+00   9.485E+03 9.481E+03 4.456E+00 1.697E-03 0.000E+00 0.000E+00 0.000E+00
 5.8470E-04 2.761E+06 2.760E+06 1.386E+03 5.478E-01 0.000E+00 0.000E+00 0.000E+00   9.045E+03 9.040E+03 4.539E+00 1.794E-03 0.000E+00 0.000E+00 0.000E+00
 5.8470E-04 2.827E+06 2.826E+06 1.386E+03 5.478E-01 0.000E+00 0.000E+00 0.000E+00   9.261E+03 9.257E+03 4.539E+00 1.794E-03 0.000E+00 0.000E+00 0.000E+00
 6.0000E-04 2.719E+06 2.717E+06 1.415E+03 5.738E-01 0.000E+00 0.000E+00 0.000E+00   8.905E+03 8.901E+03 4.635E+00 1.879E-03 0.000E+00 0.000E+00 0.000E+00
 6.5000E-04 2.399E+06 2.398E+06 1.479E+03 6.602E-01 0.000E+00 0.000E+00 0.000E+00   7.860E+03 7.855E+03 4.845E+00 2.163E-03 0.000E+00 0.000E+00 0.000E+00
